Topic ID,Title,Fancy Title,Slug,Posts Count,Requested Amount,Status,Reply Count,Highest Post Number,Created At,Last Posted At,Views,Like Count,Tags,Last Poster Username,Category ID,posters,Original Poster ID
17102,[Furucombo] [FINAL] [STIP - Round 1],[Furucombo] [FINAL] [STIP - Round 1],furucombo-final-stip-round-1,15,"59,500",Passed,3,18,26-09-2023 12:36,15-01-2024 05:09,1778,21,[],Blazar,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12684, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12963, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8179, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",12684
16689,[Balancer] [FINAL] [STIP - Round 1],[Balancer] [FINAL] [STIP - Round 1],balancer-final-stip-round-1,57,"12,00,000",Passed,25,59,22-09-2023 02:44,20-12-2023 17:18,4578,109,[],Tritium,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7393, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12791, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12880, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11835, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}]",7393
17550,[Synapse Protocol] [FINAL][STIP - Round 1],[Synapse Protocol] [FINAL][STIP - Round 1],synapse-protocol-final-stip-round-1,27,"20,00,000",Passed,9,27,28-09-2023 03:16,19-12-2023 13:32,3149,26,['proposal'],moses,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13137, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13277, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4461, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",13137
17486,[Sanko GameCorp] [FINAL] [STIP - Round 1],[Sanko GameCorp] [FINAL] [STIP - Round 1],sanko-gamecorp-final-stip-round-1,37,"5,00,000",Passed,18,39,27-09-2023 23:56,18-12-2023 20:20,4456,98,[],SankoGameCorp,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13109, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13112, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13691, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13771, 'primary_group_id': None, 'flair_group_id': None}]",13109
17314,[TIDE][FINAL][STIP - Round 1],[TIDE][FINAL][STIP - Round 1],tide-final-stip-round-1,17,"80,000",Passed,5,17,27-09-2023 12:25,18-12-2023 09:28,1858,16,[],silviob,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13015, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13492, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12963, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",13015
17422,[Gains Network][FINAL][STIP - Round 1],[Gains Network][FINAL][STIP - Round 1],gains-network-final-stip-round-1,90,"70,00,000",Passed,51,92,27-09-2023 20:18,13-12-2023 22:06,5475,345,['proposal'],Lunaman,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13086, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13231, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13259, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13201, 'primary_group_id': None, 'flair_group_id': None}]",13086
16856,[RAMSES] [FINAL] [STIP - Round 1],[RAMSES] [FINAL] [STIP - Round 1],ramses-final-stip-round-1,251,"12,48,000",Passed,199,312,23-09-2023 16:39,12-12-2023 13:01,9240,987,[],North,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 11957, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12791, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12831, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12401, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8089, 'primary_group_id': None, 'flair_group_id': None}]",11957
16836,[Thales] [FINAL] [STIP - Round 1],[Thales] [FINAL] [STIP - Round 1],thales-final-stip-round-1,20,"5,00,000",Passed,5,20,23-09-2023 09:11,11-12-2023 13:36,2600,39,['proposal'],padzank,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12735, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12963, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12710, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",12735
17103,[Florence Finance] [FINAL] [STIP - Round 1],[Florence Finance] [FINAL] [STIP - Round 1],florence-finance-final-stip-round-1,12,"2,50,000",Passed,1,12,26-09-2023 12:36,30-11-2023 11:38,1852,5,['proposal'],rufanyia,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12923, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12963, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14168, 'primary_group_id': None, 'flair_group_id': None}]",12923
17317,[KyberSwap] [FINAL] [STIP - Round 1],[KyberSwap] [FINAL] [STIP - Round 1],kyberswap-final-stip-round-1,35,"15,00,000",Passed,11,37,27-09-2023 12:33,18-11-2023 06:19,3714,118,[],peter,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 9666, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11821, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13085, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10290, 'primary_group_id': None, 'flair_group_id': None}]",9666
